id,ten,slot,rarity,implicit,variant,isUnique
amulet-rare-great,Khắc Phù Bảo Đại,amulet,Rare,+15% intensity toàn cục — +10% crit chance — +5% intensity multiplier khi crit,Bảo,false
amulet-legendary-heaven-fate,Khắc Phù Thần Thiên Mệnh,amulet,Legendary,+20% intensity toàn cục — +15% crit chance — crit kích hoạt cộng hưởng tương sinh +10%,Thần,false
amulet-patriarch,Khắc Phù Tổ Sư,amulet,Unique,+25% intensity toàn cục — chỉ hiệu lực trong ván đầu tiên của pháp trận — bonus reset khi ván 1 kết thúc,Cổ vật,true
ring-left-reroll-thrift,Đồ Sương Reroll Tiết Kiệm (Trái),ringL,Common,-10% chi phí đan dược khi reroll affix,Phàm,false
ring-left-rare-drop,Đồ Sương Loại Đan Hiếm (Trái),ringL,Magic,Tỉ lệ drop Bảo+ tăng 1 tier — ảnh hưởng tất cả linh khí trong ván,Linh,false
ring-left-corruption-counter,Đồ Sương Tâm Ma Khắc (Trái),ringL,Rare,-20% thời gian hiệu lực Tâm Ma debuff trên linh đan,Bảo,false
ring-left-seal-safety,Đồ Sương Phong Ấn An Toàn (Trái),ringL,Legendary,-3% Phong Ấn brick chance — cộng dồn với tất cả nguồn giảm brick khác,Thần,false
ring-left-spirit-record,Linh Thủ Bảo Ký (Trái),ringL,Unique,Mỗi pháp trận hoàn thành: lưu 1 affix của linh khí bất kỳ — affix đó xuất hiện guaranteed ở map tiếp theo,Cổ vật,true
ring-right-reroll-thrift,Đồ Sương Reroll Tiết Kiệm (Phải),ringR,Common,-10% chi phí đan dược khi reroll affix,Phàm,false
ring-right-rare-drop,Đồ Sương Loại Đan Hiếm (Phải),ringR,Magic,Tỉ lệ drop Bảo+ tăng 1 tier — ảnh hưởng tất cả linh khí trong ván,Linh,false
ring-right-corruption-counter,Đồ Sương Tâm Ma Khắc (Phải),ringR,Rare,-20% thời gian hiệu lực Tâm Ma debuff trên linh đan,Bảo,false
ring-right-seal-safety,Đồ Sương Phong Ấn An Toàn (Phải),ringR,Legendary,-3% Phong Ấn brick chance — cộng dồn với tất cả nguồn giảm brick khác,Thần,false
ring-right-spirit-record,Linh Thủ Bảo Ký (Phải),ringR,Unique,Mỗi pháp trận hoàn thành: lưu 1 affix của linh khí bất kỳ — affix đó xuất hiện guaranteed ở map tiếp theo,Cổ vật,true
belt-common,Dây Phong Ấn Phàm,belt,Common,Trang bị cơ bản — không bonus phụ trội,Phàm,false
belt-magic-elixir-flow,Dây Phong Ấn Linh Đan Lưu,belt,Magic,Linh Đan drop +30% toàn pháp trận,Linh,false
belt-rare-essence,Dây Phong Ấn Bảo Tinh Hoa,belt,Rare,Tinh Hoa drop tăng 1 tier — Phàm trở thành Linh; Linh trở thành Bảo,Bảo,false
belt-legendary-nine-turn,Dây Phong Ấn Thần Cửu Chuyển,belt,Legendary,Cửu Chuyển Đan drop chance +50% — stack với Nguyên Liệu bias,Thần,false
belt-heaven-earth-treasure,Thiên Địa Bảo Đai,belt,Unique,Phong Ấn không bao giờ bị brick trong pháp trận này — Phong Ấn fail vẫn giữ nguyên affix,Cổ vật,true
