id,ten,category,t1,t2,t3,tags,element,compatibleItemTypes,weight
elixir-protect,Bảo Vệ Linh Đan,suffix,Khi stability linh đan < 30%: linh khí này nhận thêm 1 hit bảo vệ → linh lực tương khắc bị deflect,Khi stability < 35%: deflect tương khắc,Khi stability < 40%: deflect; deflect trả lại 30% intensity về nguồn,defensive,,,60
element-lock,Cố Định Nguyên Tố,suffix,Linh khí không thể bị nhiễm khí và không đổi nguyên tố trong pháp trận này,Cố định nguyên tố + resist nhiễm khí 100%,Cố định nguyên tố + khi linh khí khác cố nhiễm: trigger +10% intensity counter,defensive,,,60
great-attraction,Hấp Lực Lớn,suffix,Hút linh lực bán kính 50px với lực 15% lớn hơn thường,Hút 60px; lực 22%,Hút 70px; lực 30%; 5% chance hút linh lực đã qua linh khí khác quay lại,utility,,,100
seal-risk-reduce,Giảm Rủi Ro Phong Ấn,suffix,-3% Phong Ấn brick chance global trong pháp trận khi linh khí này còn sống,-5% global brick chance,-8% global brick chance; mỗi ván win: +1% giảm thêm (max -3%),seal-safety,,,40
reagent-choice,Tăng Chọn Đan Dược,suffix,Sau mỗi ván win: thêm 1 đan dược vào lựa chọn loot,Thêm 2 đan dược lựa chọn,Thêm 2 đan dược; 10% chance 1 trong đó là Cửu Chuyển Đan hoặc Phong Ấn,currency-control,,,40
wood-spawn-aid,Tự Sinh Phú,suffix,Mỗi 4 va chạm: spawn 1 linh lực Mộc phụ với 25% intensity (tự sinh),Mỗi 3 va chạm: spawn Mộc phụ 35%,Mỗi 2 va chạm: spawn Mộc phụ 45%; Mộc phụ heal đan +0.5% nếu chạm,sustain|elemental,wood,,60
yield-stability,Nhường Bộ Ổn Định,suffix,Mỗi tương khắc hit lên linh khí này: heal stability đan +0.8% (absorb và chuyển hóa),Absorb tương khắc → heal +1.2%,Absorb tương khắc → heal +1.8%; 5% chance absorb toàn bộ hit không gây damage đan,defensive|sustain,,,60
essence-exchange,Trao Đổi Tím Hiệt,suffix,Mỗi 6 hit: spawn 1 tinh hoa random trong loot pool,Mỗi 5 hit: spawn tinh hoa,Mỗi 4 hit: spawn tinh hoa; tinh hoa luôn thuộc nguyên tố linh khí,currency-control,,,60
item-revive,Phù Phục Linh Khí,suffix,Khi linh khí này vỡ (durability 0): 15% chance tự hồi với 30% durability,20% chance hồi với 40% durability,25% chance hồi với 50% durability; hồi sinh có thêm affix ngẫu nhiên T1,defensive,,,40
twin-hit-chain,Song Hit Chuỗi,suffix,Mỗi va chạm: 15% chance trigger chain jump tới linh khí gần nhất,20% chance chain jump,25% chance chain jump; chain mang theo 80% intensity gốc,chain,,,100
wuxing-chain,Ngũ Hành Liên Hoàn,suffix,Chain qua đây tăng intensity thêm +8% mỗi hop,Chain tăng +12% mỗi hop,Chain tăng +16% mỗi hop; khi chain đủ 5 hop trong 1 lần: +50% bonus intensity tới đan,chain|elemental,,,60
fierce-wave,Sóng Cuồng Nha,suffix,Va chạm tạo sóng đẩy 40px; linh khí bị đẩy không mất durability,Sóng đẩy 60px,Sóng đẩy 80px; sóng kéo linh lực khác về phía linh đan thêm 20px,aoe|utility,,,100
kindred-meeting,Đồng Giao Ngộ,suffix,Linh lực cùng nguyên tố linh khí nhận thêm 12% hấp lực,+18% hấp lực cùng nguyên tố,+25% hấp lực; cùng nguyên tố hit linh khí này → tự động chain jump miễn phí,elemental|utility,,,100
speed-retain,Lưu Giữ Tốc Độ,suffix,Linh lực không mất velocity khi qua linh khí này (thường -10% per hit),Không mất velocity + +5% velocity bonus,Không mất velocity + +10% bonus; linh lực rời nhanh hơn 15%,speed,,,100
corruption-limit-aura,Hạn Chế Tâm Ma Aura,suffix,Linh khí này phát aura: Tâm Ma modifier effect giảm 10% trong 100px,Tâm Ma effect giảm 15% aura 120px,Tâm Ma effect giảm 20% aura 150px; trong aura linh đan nhận 5% resistance Tâm Ma damage,anti-corruption,,,40
shock-resist-heal,Giảm Sốc Kháng,suffix,Khi linh đan bị Tâm Ma debuff: linh khí này phát +15% heal stability/hit trong 3s,+22% heal khi debuff,+30% heal khi debuff; 10% chance clear 1 stack Tâm Ma debuff mỗi hit,anti-corruption|sustain,,,40
stored-energy-still,Tích Năng Bất Động,suffix,Linh khí tích charge nhưng không phóng ra; mỗi ván kết thúc: phóng toàn bộ charge → AOE,Charge AOE lớn hơn 20%,Charge AOE mạnh hơn 30%; AOE prioritize linh đan nếu trong tầm,utility|aoe,,,60
void-fusion,Vô Cực Dung Hoà,suffix,Linh lực Vô Cực qua đây nhận nguyên tố linh khí này; +15% intensity,+22% intensity cho Vô Cực convert,+30% intensity; Vô Cực convert có 10% chance tương sinh với đan,elemental|utility,,,60
catalyst-cost-reduce,Giảm Nguyên Liệu Phí,suffix,Nguyên Liệu dùng vào pháp trận: 1 slot cost giảm 10% (loot bias),Nguyên Liệu cost -15%,Nguyên Liệu cost -20%; 5% chance Nguyên Liệu không consume khi dùng,currency-control,,,40
consecutive-speed,Phi Tốc Liên Tiếp,suffix,Linh lực hit liên tiếp trong 1s: mỗi hit sau +5% velocity,+7% velocity mỗi hit liên tiếp,+10% velocity mỗi hit liên tiếp; 3 hit liên tiếp → next hit tự động crit,speed|crit,,,60
tranquil-inner-force,Yên Tĩnh Nội Lực,suffix,Linh khí không bị tác động bởi AOE sóng đẩy của linh khí khác,Không bị AOE + resist nhiễm khí +20%,Không bị AOE + resist nhiễm khí +35%; miễn nhiễm tâm ma debuff,defensive|anti-corruption,,,40
wave-pull,Tạo Lực Sóng,suffix,Mỗi 3 hit: tạo sóng kéo linh lực xung quanh 80px về phía linh đan,Mỗi 3 hit: sóng kéo 100px,Mỗi 2 hit: sóng kéo 120px; sóng tăng velocity linh lực kéo +20%,utility|aoe,,,100
reflect-qi,Phản Xạ Khí,suffix,Va chạm: 10% chance phản lại linh lực về hướng linh đan với 60% intensity,15% chance phản lại với 75% intensity,20% chance phản lại với 90% intensity; phản xạ tự động crit nếu cùng nguyên tố đan,utility|offensive,,,60
orb-transmute,Biến Thể Linh Lực,suffix,Linh lực qua đây: nguyên tố đổi thành tương sinh của linh đan (tối ưu hoá),Đổi nguyên tố + +12% intensity,Đổi nguyên tố + +20% intensity; 10% chance nhân đôi linh lực sau convert,elemental|utility,,,60
continuous-growth,Tăng Trưởng Tiếp Nối,suffix,Mỗi 5 va chạm liên tiếp không bị interrupt: +5% intensity tạm (max 3 stack),Mỗi 4 va chạm: +6% intensity (max 4 stack),Mỗi 3 va chạm: +8% intensity (max 5 stack); stack không reset giữa các ván,offensive|utility,,,100
base-damage-reduce,Giảm Thiệt Hại Nền,suffix,Giảm 8% damage nhận từ linh lực trung tính (không tương sinh không tương khắc),Giảm 12% damage trung tính,Giảm 18% damage trung tính; trung tính hit → heal stability +0.3%,defensive|sustain,,,100
kindred-generation,Đồng Hành Tương Sinh,suffix,Khi 2 linh khí cùng nguyên tố trong 80px: cả hai nhận +8% intensity,+12% intensity khi 2 cùng nguyên tố,+18% intensity; 3 cùng nguyên tố → +30% intensity,elemental|offensive,,,60
reagent-stash-retain,Lưu Giữ Đan Dược Rơi,suffix,Đan dược drop từ linh khí này không biến mất khi pháp trận kết thúc (lưu vào stash),Drop tự động vào stash + +10% drop rate,Drop vào stash + +20% drop rate; 5% chance drop thêm 1 Tinh Hoa,currency-control,,,40
essence-guarantee,Phong Toả Tinh Hoa,suffix,Mỗi pháp trận: đảm bảo ít nhất 1 Tinh Hoa Ngũ Hành drop từ linh khí này,Đảm bảo 1 Tinh Hoa + 20% chance thêm 1,Đảm bảo 1 Tinh Hoa; 30% chance 2; Tinh Hoa luôn thuộc nguyên tố linh đan,currency-control,,,40
