id,ten,category,t1,t2,t3,tags,element,compatibleItemTypes,weight
charged-might,Vũ Lực Cuồng,prefix,+22% intensity khi linh lực có charge >= 3 hops,+32% intensity khi linh lực có charge >= 2 hops,+42% intensity khi linh lực có charge >= 2 hops; crit chance +8%,offensive|crit,,,100
lightning-resist-power,Thiên Kiếp Kháng,prefix,+25% intensity khi bị đánh bởi Thiên Kiếp linh lực,+38% intensity khi bị đánh bởi Thiên Kiếp linh lực,+50% intensity khi bị đánh bởi Thiên Kiếp; linh lực Thiên Kiếp chuyển hoá 20% sang tương sinh,offensive,,,40
fierce-god-slaughter,Hung Thần Ác Sát,prefix,+12% crit chance; crit gây thêm 20% intensity,+18% crit chance; crit gây thêm 30% intensity,+25% crit chance; crit gây thêm 40% intensity,crit|offensive,,,100
myriad-summon-honor,Vạn Chiếu Quy Tôn,prefix,+10% intensity cho mỗi linh khí cùng nguyên tố trên board (max 3 stack),+15% intensity cho mỗi linh khí cùng nguyên tố trên board (max 4 stack),+20% intensity cho mỗi linh khí cùng nguyên tố trên board (max 5 stack),offensive|elemental,,,100
recoil-force,Phản Lực,prefix,5% chance linh lực nảy ngược hướng sau va chạm; +40% intensity khi nảy ngược,8% chance nảy ngược; +55% intensity,10% chance nảy ngược; +70% intensity; nảy ngược pierce linh khí tiếp theo,offensive,,,60
twin-flying-blade,Song Phi Nhẫn,prefix,Va chạm tạo 1 linh lực phụ Kim với 30% intensity gốc; tồn tại 2s,Va chạm tạo 1 linh lực phụ Kim với 45% intensity; tồn tại 2s,Va chạm tạo 2 linh lực phụ Kim với 40% intensity mỗi; tồn tại 2s,offensive|aoe,metal,,60
grassland-petal-storm,Thảo Nguyên Phi Hoa,prefix,Va chạm tạo 2 linh lực phụ Mộc với 20% intensity; lan 60px,Va chạm tạo 2 linh lực phụ Mộc với 28% intensity; lan 80px,Va chạm tạo 3 linh lực phụ Mộc với 25% intensity; lan 100px,offensive|aoe,wood,,40
water-wave-burst,Biến Hoá Lan Sóng,prefix,AOE Thuỷ 60px khi va chạm gây 15% intensity,AOE Thuỷ 80px khi va chạm gây 22% intensity,AOE Thuỷ 100px khi va chạm gây 30% intensity; chậm linh lực trong vùng 20%,offensive|aoe,water,,60
green-earth-quagmire,Lục Trầm Thổ,prefix,Linh lực Thổ va chạm tạo bãi cát 50px; linh lực rơi vào +20% intensity,Linh lực Thổ tạo bãi cát 70px; +28% intensity,Linh lực Thổ tạo bãi cát 90px; +38% intensity; chậm linh lực trong bãi 25%,offensive|aoe,earth,,60
flying-ink-strike,Bút Mực Phi Tiên,prefix,+18% intensity sau 2 va chạm liên tiếp trong 1.5s,+26% intensity sau 2 va chạm liên tiếp trong 1.5s,+35% intensity sau 2 va chạm liên tiếp trong 1.5s; 3 va chạm → +50%,offensive,,,100
golden-killing-intent,Hoàng Kim Sát Khí,prefix,+15% intensity; 8% chance gây vàng rời — linh lực mang theo tăng intensity 10% kế tiếp,+22% intensity; 12% chance vàng rời +15% intensity kế tiếp,+30% intensity; 15% chance vàng rời +20% intensity kế tiếp,offensive|crit,metal,,60
four-ghost-charge,Tứ Quỷ Xung Khí,prefix,+20% intensity chống boss Dị Tượng,+30% intensity chống boss Dị Tượng,+40% intensity chống boss Dị Tượng; 5% chance stun boss 0.5s,offensive|anti-corruption,,,40
nectar-burst,Cam Lộ Bùng Nổ,prefix,+20% intensity Thuỷ; khi linh lực Thuỷ chạm đan Hoả: +15% bonus,+28% intensity Thuỷ; chạm đan Hoả +22% bonus,+38% intensity Thuỷ; chạm đan Hoả +30% bonus,offensive|elemental,water,,60
southern-sun-tear,Mặt Trời Lệ Nam,prefix,+20% intensity Hoả; crit chance +8% khi board có >= 2 Hoả linh khí,+28% intensity Hoả; crit chance +12%,+38% intensity Hoả; crit chance +18%; 10% chance AOE Hoả 80px khi crit,offensive|elemental|crit,fire,,40
corruption-killing-intent,Sát Khí Tâm Ma,prefix,+35% intensity khi linh khí bị Tâm Ma nhiễm (ngược nguyên tố tạm),+50% intensity khi bị Tâm Ma nhiễm,+65% intensity khi bị Tâm Ma nhiễm; heal stability +2% mỗi hit khi nhiễm,offensive|anti-corruption,,,40
sea-crest-surge,Hải Quán Xung Tiên,prefix,+18% intensity sau mỗi chain hop (cộng dồn max 5),+25% intensity sau mỗi chain hop (max 6),+32% intensity sau mỗi chain hop (max 8),offensive|chain,,,100
rock-shatter-impact,Nham Phá Va Chạm,prefix,5% chance va chạm gây phá giáp linh khí khác: -15% defense 2s,8% chance phá giáp -20% defense 2s,12% chance phá giáp -25% defense 3s,offensive,,,100
savage-frenzy,Hùng Mạnh Cuồng Bạo,prefix,+18% intensity; mỗi 10 hit liên tiếp trong ván: thêm +10% intensity cộng dồn (max 30%),+25% intensity; +12% cộng dồn mỗi 8 hit (max 48%),+33% intensity; +15% cộng dồn mỗi 6 hit (max 60%),offensive,,,60
potential-force,Bổ Lực Thế Năng,prefix,Linh lực dừng > 0.5s trong linh khí (Hộp/Đỉnh): +35% intensity khi rời,Linh lực dừng > 0.3s: +50% intensity khi rời,Linh lực dừng bất kỳ: +60% intensity khi rời; thêm chain hop miễn phí,offensive,,,100
piercing-step,Xuyên Qua Bước,prefix,Pierce: linh lực qua linh khí đầu tiên; gây 80% intensity cho linh khí phía sau trong 60px,Pierce: gây 90% intensity; tầm 80px,Pierce: gây 100% intensity cho linh khí phía sau; tầm 100px; tạo thêm chain jump,offensive|chain,,,60
wuxing-counter-power,Ngũ Hành Tương Khắc Cường,prefix,+15% intensity khi gây tương khắc; +5% crit chance,+22% intensity khi gây tương khắc; +8% crit chance,+30% intensity khi gây tương khắc; +12% crit chance,offensive|elemental|crit,,,100
thousand-mile-firewind,Vạn Lý Phong Hoả,prefix,Linh lực Hoả tạo trail lửa 2s sau va chạm; trail gây 10% intensity/s,Trail lửa 3s; gây 15% intensity/s,Trail lửa 3s; gây 20% intensity/s; linh lực khác qua trail +20% intensity,offensive|aoe,fire,,60
fire-frenzy-blast,Hoả Cuồng Khởi Nổ,prefix,8% chance: linh lực Hoả tạo AOE nổ 80px gây 40% intensity khi chạm đan,12% chance: AOE nổ 100px gây 55% intensity,15% chance: AOE nổ 120px gây 70% intensity; 5% chance double nổ,offensive|aoe,fire,,40
force-ricochet,Nguyên Lực Phản Xạ,prefix,Ricochet: sau va chạm tường; +15% intensity; tối đa 2 lần/linh lực,Ricochet +22% intensity; tối đa 3 lần,Ricochet +30% intensity; tối đa 4 lần; 10% chance ricochet nhân đôi linh lực,offensive,,,100
swift-speed,Phi Tốc,prefix,+20% velocity linh lực; velocity bonus → +10% intensity,+28% velocity; +14% intensity,+38% velocity; +20% intensity; crit chance +5% khi velocity cực cao,offensive|speed,,,100
dragon-spirit-qi,Thần Long Khí,prefix,+20% intensity khi linh lực đã qua >= 3 linh khí trong ván này,+28% intensity khi >= 3 linh khí,+38% intensity khi >= 3 linh khí; thêm +5% mỗi linh khí thêm (max +20%),offensive|chain,,,100
rock-arrogant-might,Nham Cuồng Kiêu,prefix,+30% intensity; nhưng linh lực có 5% chance trượt qua linh đan không gây damage,+42% intensity; 4% chance trượt,+55% intensity; 3% chance trượt,offensive,,,40
stone-shatter-charge,Sát Thạch Xung,prefix,Linh lực Thổ va chạm: 10% chance tạo đá vỡ projectile phụ gây 20% intensity tới linh đan,15% chance đá vỡ gây 28% intensity,20% chance đá vỡ gây 38% intensity; chance thêm bounce,offensive|aoe,earth,,60
frost-water-control,Thuỷ Cuồng Hàn Ngự,prefix,+22% intensity Thuỷ; 8% chance đóng băng linh khí 0.8s giải phóng +20% AOE,+30% intensity Thuỷ; 12% chance đóng băng; +28% AOE khi giải phóng,+40% intensity Thuỷ; 15% chance đóng băng; +38% AOE; đóng băng lan sang linh khí lân cận 60px,offensive|elemental|aoe,water,,40
azure-thunder-frost,Bích Lôi Thiên Hàn,prefix,+25% intensity Thuỷ khi tương sinh (Thuỷ → Mộc đan),+35% intensity Thuỷ tương sinh,+45% intensity Thuỷ tương sinh; heal stability linh đan +3% khi tương sinh hit,offensive|elemental|sustain,water,,60
wood-spirit-wave,Mộc Linh Sóng Hoả,prefix,+22% intensity Mộc; mỗi 5 hit Mộc: heal linh đan stability +2%,+30% intensity Mộc; mỗi 4 hit: heal +3%,+40% intensity Mộc; mỗi 3 hit: heal +4%; 5% chance nhân đôi heal,offensive|elemental|sustain,wood,,60
thunder-sound-frenzy,Thiên Âm Cuồng,prefix,+20% intensity; 5% chance tất cả linh lực trên board cùng lúc hit linh đan,+28% intensity; 7% chance all-hit,+38% intensity; 10% chance all-hit; all-hit gây 20% bonus intensity mỗi linh lực,offensive|aoe,,,40
savage-crit-burst,Hùng Mạnh Bá Phá,prefix,+12% crit chance; crit strike AOE 40px gây 30% crit intensity,+17% crit chance; AOE 55px gây 40% intensity,+22% crit chance; AOE 70px gây 50% intensity,crit|aoe,,,100
desperate-frenzy,Kích Bạo Liều Lĩnh,prefix,+50% intensity khi linh đan stability < 40%; nhưng +5% chance bể linh đan mỗi hit,+65% intensity khi stability < 40%; +4% chance bể,+80% intensity khi stability < 50%; +3% chance bể; 10% chance heal +3% stability khi hit,offensive,,,40
fire-harvest-impermanence,Thu Hoả Vô Thường,prefix,+20% intensity; khi linh lực cùng nguyên tố linh đan: +15% bonus,+28% intensity; đồng nguyên tố +22% bonus,+38% intensity; đồng nguyên tố +30% bonus; 8% chance nhân đôi linh lực,offensive|elemental,,,100
hundred-thunder-split,Bách Lôi Tán Sát,prefix,+18% intensity; 10% chance: linh lực split thành 3 với 50% intensity mỗi đường,+25% intensity; 12% chance split 3,+33% intensity; 15% chance split 3; split paths có crit chance +10%,offensive|aoe,,,60
earth-shaking-might,Kinh Thiên Động Địa,prefix,+40% intensity nhưng cooldown 3s sau mỗi va chạm (linh khí tạm không trigger),+55% intensity; cooldown 2.5s,+70% intensity; cooldown 2s; trong cooldown linh khí vẫn deflect nhưng không gây hiệu ứng,offensive,,,40
victory-stack,Cao Trường Toàn Thắng,prefix,+15% intensity; mỗi ván win: thêm +2% intensity cộng dồn pháp trận này (max 10%),+20% intensity; +3% cộng dồn mỗi ván win (max 18%),+25% intensity; +4% cộng dồn mỗi ván win (max 28%),offensive,,,60
lone-power,Nhất Cuồng Vạn Binh,prefix,+25% intensity khi chỉ có 1 linh khí cùng nguyên tố trên board,+35% intensity khi chỉ có 1 cùng nguyên tố,+48% intensity khi chỉ có 1 cùng nguyên tố; +5% crit,offensive|crit,,,40
all-element-slaughter,Vũ Khí Toàn Sát,prefix,+18% intensity cho tất cả linh lực bất kể nguyên tố,+26% intensity tất cả linh lực,+35% intensity tất cả linh lực,offensive,,,100
blazing-corruption-bane,Tất Diệu Bùng Cháy,prefix,+20% intensity Hoả; hit boss Tâm Ma +30% bonus intensity,+28% intensity Hoả; boss Tâm Ma +45% bonus,+38% intensity Hoả; boss Tâm Ma +60% bonus; 5% chance thiêu cháy boss -10% defense,offensive|elemental|anti-corruption,fire,,40
twin-dragon-union,Song Long Hợp Bích,prefix,+20% intensity khi có đúng 2 linh khí Kim trên board,+28% intensity khi có 2 linh khí Kim; 5% chain jump giữa 2 Kim,+38% intensity khi có 2 linh khí Kim; 8% chain jump +15% intensity bonus,offensive|elemental|chain,metal,,40
wuxing-convert-power,Ngũ Hành Chuyển Hoá Cường,prefix,+15% intensity sau khi linh lực được convert nguyên tố,+22% intensity sau convert,+30% intensity sau convert; 10% chance convert thêm 1 lần nữa,offensive|elemental,,,100
metal-pierce-might,Hưởng Thịnh Kim Cương,prefix,+20% intensity Kim; 5% chance Kim lực xuyên — ignore 1 linh khí tương khắc,+28% intensity Kim; 8% chance Kim xuyên,+38% intensity Kim; 12% chance Kim xuyên; xuyên gây 50% bonus intensity tới linh đan,offensive|elemental,metal,,60
dart-speed-kill,Phi Tiêu Tốc Sát,prefix,+15% intensity; velocity linh lực +20%; velocity bonus → crit chance +5%,+22% intensity; velocity +28%; crit chance +8%,+30% intensity; velocity +38%; crit chance +12%; crit tốc sát gây thêm 20% intensity,offensive|speed|crit,,,100
verdant-transform,Thanh Lam Biến Hoá,prefix,+18% intensity Mộc; 10% chance hit gây mọc rễ — linh lực dừng 0.3s rồi tiếp với +30%,+25% intensity Mộc; 15% chance mọc rễ +40%,+33% intensity Mộc; 20% chance mọc rễ +50%,offensive|elemental,wood,,60
earth-god-blast,Thổ Thần Bùng Nổ,prefix,+20% intensity Thổ; mỗi 5 hit Thổ: tạo AOE đất nổ 80px gây 40% intensity,+28% intensity Thổ; mỗi 4 hit: AOE 100px gây 55%,+38% intensity Thổ; mỗi 3 hit: AOE 120px gây 70%,offensive|elemental|aoe,earth,,40
master-archer,Xạ Thủ Toàn Năng,prefix,Linh lực spawn từ Đỉnh có +12% intensity bonus,Linh lực spawn từ Đỉnh có +18% intensity bonus,Linh lực spawn từ Đỉnh có +25% intensity bonus; 5% chance spawn thêm 1 linh lực miễn phí,offensive,,,100
early-strike-might,Phá Thần Vạn Quốc,prefix,+25% intensity khi đánh linh đan trong 3 hit đầu của ván,+35% intensity trong 4 hit đầu,+45% intensity trong 5 hit đầu; 5% chance thêm 1 linh lực khi hit sớm,offensive,,,100
frenzy-frost-ice,Cuồng Hàn Bách Băng,prefix,+22% intensity Thuỷ; 8% chance băng — linh lực rời Thuỷ khí nhanh +40% trong 0.5s,+30% intensity Thuỷ; 12% chance băng +55%,+40% intensity Thuỷ; 15% chance băng +70%; trong đó 5% chain 2 linh khí,offensive|elemental|speed,water,,40
hundred-fire-phoenix,Bách Hoả Phụng Linh,prefix,Khi Hoả linh lực chạm đan Mộc (tương khắc): +20% intensity bonus thêm vào damage,+28% intensity bonus tương khắc Hoả→Mộc,+38% intensity bonus; 8% chance siêu khắc +80% thay vì +38%,offensive|elemental,fire,,40
heaven-rock-might,Thiên Nham Cuồng Lực,prefix,+20% intensity Thổ khi linh lực đã chậm >= 30% (qua linh khí chậm),+28% intensity Thổ khi linh lực đã chậm,+38% intensity Thổ khi linh lực đã chậm; +10% crit chance trong trạng thái này,offensive|elemental|crit,earth,,60
armor-break-blaze,Phá Giáp Liệt Hoả,prefix,Tương khắc hit: giảm defense linh đan mục tiêu 5% trong 2s (stack 3 lần),Tương khắc hit: giảm defense 8% trong 2s (stack 4),Tương khắc hit: giảm defense 10% trong 3s (stack 5); stack max gây +20% bonus damage,offensive|elemental,,,60
void-breaker,Vô Vi Phá Cự,prefix,+28% intensity nhưng không có hiệu ứng elemental (linh lực trở thành Vô Cực tạm),+40% intensity; Vô Cực 3s,+55% intensity; Vô Cực 5s; Vô Cực bypass elemental resist của boss,offensive,,,40
corruption-assassin,Tâm Ma Sát Thủ,prefix,+40% intensity khi đánh trúng boss Tâm Ma,+55% intensity khi đánh boss Tâm Ma,+70% intensity; 5% chance tâm thức xuyên — bypass 30% Tâm Ma resistance,offensive|anti-corruption,,,40
boundless-slaughter,Vô Lượng Cuồng Sát,prefix,+20% intensity; +2% mỗi linh khí trên board (max 8 linh khí × 2% = +16% bonus),+28% intensity; +3% mỗi linh khí (max +24%),+38% intensity; +4% mỗi linh khí (max +32%),offensive,,,100
dragon-charge-fist,Cuồng Long Khí Quyền,prefix,+25% intensity; charge_factor bonus +10% per hop,+35% intensity; charge_factor +15% per hop,+45% intensity; charge_factor +20% per hop; max hops tăng thêm 2,offensive|chain,,,60
star-shatter,Thiên Phá Vạn Tinh,prefix,+22% intensity; 8% chance tạo sao rơi — linh lực phụ nhỏ gây 20% intensity tới linh đan,+30% intensity; 12% chance sao rơi 28% intensity,+40% intensity; 15% chance sao rơi 38% intensity; sao rơi có 5% chance chain jump,offensive|aoe,,,100
first-strike-lethal,Ngộ Hành Trí Mạng,prefix,+18% intensity; mỗi ván đầu tiên: +30% intensity bonus hit đầu tiên,+25% intensity; hit đầu ván +45% bonus,+33% intensity; hit đầu ván +60% bonus; 5% chance hit đầu ván tự động crit,offensive|crit,,,100
